# IPv4 Streams
CCTV16,http://118.249.192.169:8888/udp/239.76.246.98:1234
CCTV16,http://118.249.192.169:8888/udp/239.76.253.98:9000
CCTV16,http://118.249.192.169:8888/udp/239.76.253.230:9000
CCTV16 4k,http://118.249.192.169:8888/udp/239.76.246.230:1234
CCTV17,http://58.39.190.143:35455/bptv/10000100000000050000000003870758.m3u8
CCTV17,http://39.134.65.106/PLTV/88888888/224/3221225708/1.m3u8?$HLJYDIP 4M FHD
CCTV17,http://39.134.67.108/PLTV/88888888/224/3221225708/1.m3u8
CCTV17,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8?$HLJYD 4M FHD
CCTV17,http://118.249.192.169:8888/udp/239.76.245.238:1234
CCTV1_原漠河综合,http://39.134.65.106/PLTV/88888888/224/3221226109/1.m3u8?$HLJYDIP 2.5M SD
CCTV1_原漠河综合,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226535/index.m3u8?$HLJYD 1.5M SD
CCTV2,http://58.39.190.143:35455/bptv/10000100000000050000000003870745.m3u8
CCTV2,http://39.134.65.106/PLTV/88888888/224/3221225599/1.m3u8?$HLJYDIP 2M HD
CCTV2,http://39.134.67.108/PLTV/88888888/224/3221225599/1.m3u8
CCTV2,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8?$HLJYD 2M HD
CCTV2,http://118.249.192.169:8888/udp/239.76.246.152:1234
CCTV2,http://118.249.192.169:8888/udp/239.76.253.152:9000
CCTV3,http://58.39.190.143:35455/bptv/10000100000000050000000003870746.m3u8
CCTV3,http://39.134.65.106/PLTV/88888888/224/3221225799/1.m3u8?$HLJYDIP 4M FHD
CCTV3,http://39.134.67.108/PLTV/88888888/224/3221225799/1.m3u8
CCTV3,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8?$HLJYD 4M FHD
CCTV3,http://118.249.192.169:8888/udp/239.76.246.153:1234
CCTV3,http://118.249.192.169:8888/udp/239.76.253.153:9000
CCTV4,http://58.39.190.143:35455/bptv/10000100000000050000000003870747.m3u8
CCTV4,http://39.134.65.106/PLTV/88888888/224/3221226092/1.m3u8?$HLJYDIP 4M FHD
CCTV4,http://39.134.65.106/PLTV/88888888/224/3221225797/1.m3u8?$HLJYDIP 2M HD
CCTV4,http://39.134.67.108/PLTV/88888888/224/3221225797/1.m3u8
CCTV4,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8?$HLJYD 4M FHD
CCTV4,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226007/index.m3u8?$HLJYD 2M HD
CCTV4,http://118.249.192.169:8888/udp/239.76.245.195:1234
CCTV4,http://118.249.192.169:8888/udp/239.76.246.154:1234
CCTV4,http://118.249.192.169:8888/udp/239.76.253.154:9000
CCTV4欧洲,http://118.249.192.169:8888/udp/239.76.253.95:9000
CCTV4欧洲,http://118.249.192.169:8888/udp/239.76.246.95:1234
CCTV4美洲,http://118.249.192.169:8888/udp/239.76.253.96:9000
CCTV4美洲,http://118.249.192.169:8888/udp/239.76.246.96:1234
CCTV5,http://58.39.190.143:35455/bptv/10000100000000050000000003870748.m3u8
CCTV5,http://39.134.65.106/PLTV/88888888/224/3221225818/1.m3u8?$HLJYDIP 4M FHD
CCTV5,http://39.134.67.108/PLTV/88888888/224/3221225818/1.m3u8
CCTV5,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8?$HLJYD 4M FHD
CCTV5,http://118.249.192.169:8888/udp/239.76.246.155:1234
CCTV5,http://118.249.192.169:8888/udp/239.76.253.155:9000
CCTV5+,http://58.39.190.143:35455/bptv/10000100000000050000000003870759.m3u8
CCTV5+,http://39.134.65.106/PLTV/88888888/224/3221225507/1.m3u8?$HLJYDIP 4M FHD
CCTV5+,http://39.134.67.108/PLTV/88888888/224/3221225507/1.m3u8
CCTV5+,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8?$HLJYD 4M FHD
CCTV5+,http://118.249.192.169:8888/udp/239.76.246.168:1234
CCTV5+,http://118.249.192.169:8888/udp/239.76.253.168:9000
CCTV6,http://58.39.190.143:35455/bptv/10000100000000050000000003870749.m3u8
CCTV6,http://39.134.65.106/PLTV/88888888/224/3221225814/1.m3u8?$HLJYDIP 4M FHD
CCTV6,http://39.134.67.108/PLTV/88888888/224/3221225814/1.m3u8
CCTV6,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8?$HLJYD 4M FHD
CCTV6,http://118.249.192.169:8888/udp/239.76.246.156:1234
CCTV6,http://118.249.192.169:8888/udp/239.76.253.156:9000
CCTV7,http://58.39.190.143:35455/bptv/10000100000000050000000003870750.m3u8
CCTV7,http://39.134.65.106/PLTV/88888888/224/3221225671/1.m3u8?$HLJYDIP 4M FHD
CCTV7,http://39.134.67.108/PLTV/88888888/224/3221225671/1.m3u8
CCTV7,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8?$HLJYD 4M FHD
CCTV7,http://118.249.192.169:8888/udp/239.76.246.157:1234
CCTV7,http://118.249.192.169:8888/udp/239.76.253.157:9000
CCTV8,http://58.39.190.143:35455/bptv/10000100000000050000000003870838.m3u8
CCTV8,http://39.134.65.106/PLTV/88888888/224/3221225795/1.m3u8?$HLJYDIP 4M FHD
CCTV8,http://39.134.67.108/PLTV/88888888/224/3221225795/1.m3u8
CCTV8,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8?$HLJYD 4M FHD
CCTV8,http://118.249.192.169:8888/udp/239.76.246.158:1234
CCTV8,http://118.249.192.169:8888/udp/239.76.253.158:9000
CCTV9,http://58.39.190.143:35455/bptv/10000100000000050000000003870752.m3u8
CCTV9,http://39.134.65.106/PLTV/88888888/224/3221225676/1.m3u8?$HLJYDIP 4M FHD
CCTV9,http://39.134.67.108/PLTV/88888888/224/3221225676/1.m3u8
CCTV9,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8?$HLJYD 4M FHD
CCTV9,http://118.249.192.169:8888/udp/239.76.246.159:1234
CCTV9,http://118.249.192.169:8888/udp/239.76.253.159:9000
CGTN,http://39.134.65.106/PLTV/88888888/224/3221225510/1.m3u8?$HLJYDIP 2M SD
CGTN,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225604/index.m3u8?$HLJYD 1.5M SD
CGTN俄语,http://39.134.65.106/PLTV/88888888/224/3221226096/1.m3u8?$HLJYDIP 4M SD
CGTN俄语,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226543/index.m3u8?$HLJYD 1.5M SD
CGTN俄语,http://118.249.192.169:8888/udp/239.76.246.86:1234
CGTN俄语,http://118.249.192.169:8888/udp/239.76.253.86:9000
CGTN法语,http://39.134.65.106/PLTV/88888888/224/3221226083/1.m3u8?$HLJYDIP 4M SD
CGTN法语,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226520/index.m3u8?$HLJYD 1.5M SD
CGTN法语,http://118.249.192.169:8888/udp/239.76.246.87:1234
CGTN法语,http://118.249.192.169:8888/udp/239.76.253.87:9000
CGTN纪录,http://39.134.65.106/PLTV/88888888/224/3221225509/1.m3u8?$HLJYDIP 2M SD
CGTN纪录,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225602/index.m3u8?$HLJYD 1.5M SD
CGTN英语,http://118.249.192.169:8888/udp/239.76.245.67:1234
CGTN西班牙语,http://39.134.65.106/PLTV/88888888/224/3221226094/1.m3u8?$HLJYDIP 4M SD
CGTN西班牙语,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226431/index.m3u8?$HLJYD 1.5M SD
CGTN西班牙语,http://118.249.192.169:8888/udp/239.76.246.88:1234
CGTN西班牙语,http://118.249.192.169:8888/udp/239.76.253.88:9000
CGTN记录,http://118.249.192.169:8888/udp/239.76.245.66:1234
CGTN阿拉伯语,http://39.134.65.106/PLTV/88888888/224/3221226081/1.m3u8?$HLJYDIP 4M SD
CGTN阿拉伯语,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226517/index.m3u8?$HLJYD 1.5M SD
CGTN阿拉伯语,http://118.249.192.169:8888/udp/239.76.253.97:9000
CHC动作电影,http://118.249.192.169:8888/udp/239.76.245.243:1234
CHC家庭影院,http://118.249.192.169:8888/udp/239.76.245.241:1234
CHC影迷电影,http://118.249.192.169:8888/udp/239.76.245.242:1234
ESPN,http://143.244.60.30/ESPN/index.m3u8
LDETV,http://118.249.192.169:8888/udp/239.76.248.20:1234
XNXTV,http://118.249.192.169:8888/udp/239.76.248.21:1234
上海教育,http://222.64.68.61:12028/udp/233.18.204.63:5140
上海新闻综合,http://222.64.68.61:12028/udp/233.18.204.57:5140
上海都市,http://222.64.68.61:12028/udp/233.18.204.53:5140
世界地理,http://118.249.192.169:8888/udp/239.76.254.57:9000
东北热剧,http://39.134.65.106/PLTV/88888888/224/3221225679/1.m3u8?$HLJYDIP 4M FHD
东北热剧,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8?$HLJYD 4M FHD
东南卫视,http://58.39.190.143:35455/bptv/10000100000000050000000003873473.m3u8
东南卫视,http://58.39.190.143:35455/itv/5000000004000010584.m3u8?cdn=bestzb
东南卫视,http://58.39.190.143:35455/itv/1000000005000265033.m3u8?cdn=ystenlive
东南卫视,http://39.134.65.106/PLTV/88888888/224/3221225950/1.m3u8?$HLJYDIP 8M FHD
东南卫视,http://39.134.65.106/PLTV/88888888/224/3221226038/1.m3u8?$HLJYDIP 2M SD
东南卫视,http://39.134.65.106/PLTV/88888888/224/3221225500/1.m3u8?$HLJYDIP 2M HD
东南卫视,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8?$HLJYD 8M FHD
